start_date,start_time,end_date,end_time,start_freq,end_freq,Loc,NOAA,Imp,cme_date,cme_time,CPA,Width,Speed,Plots,is_halo,width_is_lower_bound
2001/06/15,16:05,06/15,16:20,14000,3500,W90b,DIM,,06/15,15:56,,360,1701,PHTX,True,False
2001/08/16,00:10,08/16,16:10,5400,150,BACK,,,08/15,23:54,,360,1575,PHTX,True,False
2001/08/25,16:50,08/25,23:00,8000,170,S17E34,9591,X5.3,08/25,16:50,,360,1433,PHTX,True,False
2001/08/30,20:43,08/30,20:47,12000,10000,N15E44,9601,M3.0,08/30,21:26,82,76,351,PHTX,False,False
2001/09/03,18:48,09/03,19:00,12000,7500,S23E90,9607,M2.5,09/03,18:35,127,207,1352,PHTX,False,False
2001/09/15,11:50,09/15,12:05,14000,6000,S21W49,9608,M1.5,09/15,11:54,263,130,478,PHTX,False,False
2001/09/16,13:50,09/16,14:10,3000,2000,S13E15,9616,C8.9,09/16,14:30,131,68,584,PHTX,False,False
2001/09/17,08:35,09/17,08:47,14000,5400,S14E04,9616,M1.5,09/17,08:54,198,166,1009,PHTX,False,False
2001/09/20,18:43,09/20,18:57,14000,10000,N09W11,9631,M1.5,09/20,19:31,306,207,446,PHTX,False,False
2001/09/24,10:45,09/25,20:00,7000,30,S16E23,9632,X2.6,09/24,10:30,,360,2402,PHTX,True,False
2001/09/27,08:15,09/28,07:00,4000,80,S15W40,9628,C9.5,09/27,08:06,224,138,669,PHTX,False,False
2001/10/01,06:51,10/01,18:30,2500,150,S24W81,9628,M9.1,10/01,05:30,,360,1405,PHTX,True,False
2001/10/05,11:35,10/05,12:55,1400,500,SW90b,DIM,,10/05,10:30,,360,1537,PHTX,True,False
2001/10/09,11:15,10/09,16:00,14000,200,S28E08,9653,M1.4,10/09,11:30,,360,973,PHTX,True,False
2001/10/09,13:10,10/09,23:00,5000,50,BACK,,,,,,,,PHTX Possible HALO,False,False
2001/10/19,01:15,10/19,02:25,14000,1300,N16W18,9661,X1.6,10/19,01:27,,360,558,PHTX,True,False
2001/10/19,16:45,10/21,16:40,14000,30,N15W29,9661,X1.6,10/19,16:50,,360,901,PHTX,True,False
2001/10/22,15:15,10/22,17:40,8000,1200,S21E18,9672,M6.7,10/22,15:06,,360,1336,PHTX,True,False
2001/10/25,15:30,10/27,23:00,14000,30,S16W21,9672,X1.3,10/25,15:26,,360,1092,PHTX,True,False
2001/11/04,16:30,11/06,11:00,14000,70,N06W18,9684,X1.0,11/04,16:35,,360,1810,PHTX,True,False
2001/11/17,05:35,11/17,06:40,11000,1700,S13E42,9704,M2.8,11/17,05:30,,360,1379,PHTX uncertain,True,False
2001/11/22,20:50,11/22,22:23,8000,1000,S25W67,9698,M3.8,11/22,20:30,,360,1443,PHTX,True,False
2001/11/22,22:40,11/24,02:30,14000,40,S17W36,9704,M9.9,11/22,23:30,,360,1437,PHTX,True,False
2001/12/11,12:45,12/11,17:00,4500,750,S21W26,9727,,12/11,09:54,263,121,891,PHTX,False,False
2001/12/25,11:25,12/25,12:40,14000,1000,SE90b,DIM,,12/25,11:30,,360,1773,PHTX,True,False
2001/12/26,05:20,12/27,05:00,14000,150,N08W54,9742,M7.1,12/26,05:30,281,212,1446,PHTX,False,True
2001/12/28,20:35,12/29,03:00,14000,350,S26E90,9756,X3.4,12/28,20:30,,360,2216,PHTX,True,False
2001/12/29,20:45,12/29,21:05,3000,1500,N05W88,9742,M1.8,12/29,20:30,297,211,819,PHTX,False,True
2002/01/08,18:30,01/09,24:00,14000,90,NE90b,DIM,,01/08,17:54,,360,1794,PHTX,True,False
2002/01/14,06:25,01/14,21:30,12000,100,S28W83,9772,M4.4,01/14,05:35,,360,1492,PHTX,True,False
